Date,Fatal,Serious,Slight
2015-1-1,7,37,191
2015-1-2,3,28,202
2015-1-3,3,40,207
2015-1-4,4,41,287
2015-1-5,3,64,331
2015-1-6,1,47,334
2015-1-7,5,62,404
2015-1-8,7,54,303
2015-1-9,3,40,308
2015-1-10,3,63,444
2015-1-11,13,67,268
2015-1-12,5,60,373
2015-1-13,8,66,430
2015-1-14,4,69,416
2015-1-15,3,58,335
2015-1-16,5,53,433
2015-1-17,,41,328
2015-1-18,9,42,227
2015-1-19,3,48,344
2015-1-20,5,57,376
2015-1-21,3,32,341
2015-1-22,6,58,319
2015-1-23,5,59,432
2015-1-24,6,56,332
2015-1-25,3,30,215
2015-1-26,4,53,340
2015-1-27,2,53,340
2015-1-28,5,43,376
2015-1-29,2,65,406
2015-1-30,3,49,417
2015-1-31,6,47,281
2015-2-1,1,56,204
2015-2-2,5,45,323
2015-2-3,3,43,370
2015-2-4,3,65,286
2015-2-5,4,56,286
2015-2-6,5,56,339
2015-2-7,5,59,403
2015-2-8,10,78,269
2015-2-9,8,58,345
2015-2-10,5,77,442
2015-2-11,1,49,314
2015-2-12,5,63,366
2015-2-13,6,58,366
2015-2-14,9,37,271
2015-2-15,4,36,212
2015-2-16,2,51,291
2015-2-17,7,64,388
2015-2-18,4,47,355
2015-2-19,4,49,316
2015-2-20,5,51,317
2015-2-21,5,56,286
2015-2-22,3,30,229
2015-2-23,1,45,342
2015-2-24,2,57,351
2015-2-25,4,48,283
2015-2-26,3,47,290
2015-2-27,8,55,372
2015-2-28,4,52,271
2015-3-1,1,30,209
2015-3-2,2,51,361
2015-3-3,1,49,376
2015-3-4,3,46,254
2015-3-5,3,53,245
2015-3-6,5,66,349
2015-3-7,2,87,420
2015-3-8,2,61,287
2015-3-9,4,40,280
2015-3-10,7,55,277
2015-3-11,3,67,329
2015-3-12,1,68,390
2015-3-13,8,48,341
2015-3-14,3,35,225
2015-3-15,3,41,208
2015-3-16,2,35,292
2015-3-17,4,50,304
2015-3-18,4,47,298
2015-3-19,2,44,269
2015-3-20,6,56,323
2015-3-21,4,46,261
2015-3-22,3,45,214
2015-3-23,3,41,322
2015-3-24,2,52,347
2015-3-25,8,57,355
2015-3-26,4,40,338
2015-3-27,2,64,335
2015-3-28,4,46,267
2015-3-29,4,29,212
2015-3-30,3,50,283
2015-3-31,2,41,333
2015-4-1,5,23,186
2015-4-2,4,47,378
2015-4-3,1,53,375
2015-4-4,5,44,229
2015-4-5,5,61,251
2015-4-6,3,57,404
2015-4-7,5,67,319
2015-4-8,5,58,312
2015-4-9,5,49,315
2015-4-10,9,63,252
2015-4-11,3,68,409
2015-4-12,6,74,440
2015-4-13,5,42,259
2015-4-14,6,44,370
2015-4-15,4,61,336
2015-4-16,3,52,334
2015-4-17,3,62,344
2015-4-18,6,60,281
2015-4-19,4,45,202
2015-4-20,1,64,359
2015-4-21,6,61,345
2015-4-22,5,54,379
2015-4-23,8,52,377
2015-4-24,5,50,380
2015-4-25,5,49,304
2015-4-26,5,62,246
2015-4-27,2,51,357
2015-4-28,3,59,377
2015-4-29,4,38,369
2015-4-30,3,49,359
2015-5-1,8,31,257
2015-5-2,2,58,328
2015-5-3,4,57,299
2015-5-4,3,49,193
2015-5-5,4,52,353
2015-5-6,3,69,374
2015-5-7,1,45,295
2015-5-8,5,55,291
2015-5-9,3,57,272
2015-5-10,3,56,421
2015-5-11,4,66,465
2015-5-12,9,47,269
2015-5-13,5,100,371
2015-5-14,7,46,384
2015-5-15,5,70,366
2015-5-16,4,58,316
2015-5-17,7,67,238
2015-5-18,3,47,381
2015-5-19,3,62,369
2015-5-20,5,61,375
2015-5-21,3,55,354
2015-5-22,5,61,322
2015-5-23,5,74,257
2015-5-24,4,50,220
2015-5-25,4,51,206
2015-5-26,2,57,291
2015-5-27,5,48,295
2015-5-28,6,37,318
2015-5-29,5,57,308
2015-5-30,7,70,257
2015-5-31,5,35,237
2015-6-1,4,53,367
2015-6-2,5,54,392
2015-6-3,2,59,343
2015-6-4,8,70,274
2015-6-5,2,52,347
2015-6-6,7,60,314
2015-6-7,6,54,349
2015-6-8,7,54,340
2015-6-9,2,60,263
2015-6-10,2,67,434
2015-6-11,7,62,426
2015-6-12,6,39,248
2015-6-13,1,59,318
2015-6-14,4,43,241
2015-6-15,3,53,315
2015-6-16,6,56,321
2015-6-17,3,40,351
2015-6-18,3,49,353
2015-6-19,3,56,362
2015-6-20,7,39,287
2015-6-21,8,59,233
2015-6-22,5,50,363
2015-6-23,6,53,362
2015-6-24,5,59,327
2015-6-25,3,55,372
2015-6-26,6,67,389
2015-6-27,8,57,299
2015-6-28,3,51,250
2015-6-29,7,61,359
2015-6-30,8,78,413
2015-7-1,3,44,308
2015-7-2,2,38,304
2015-7-3,5,67,288
2015-7-4,3,36,295
2015-7-5,4,51,366
2015-7-6,6,84,278
2015-7-7,3,55,405
2015-7-8,5,67,351
2015-7-9,2,55,339
2015-7-10,4,70,372
2015-7-11,4,75,314
2015-7-12,4,60,372
2015-7-13,8,59,416
2015-7-14,5,58,302
2015-7-15,4,77,346
2015-7-16,6,46,344
2015-7-17,6,66,396
2015-7-18,3,65,304
2015-7-19,5,59,259
2015-7-20,8,51,351
2015-7-21,2,57,375
2015-7-22,1,48,328
2015-7-23,4,52,321
2015-7-24,1,52,410
2015-7-25,8,71,351
2015-7-26,8,45,306
2015-7-27,5,55,331
2015-7-28,3,45,311
2015-7-29,5,47,329
2015-7-30,6,56,316
2015-7-31,3,65,380
2015-8-1,6,57,395
2015-8-2,5,50,264
2015-8-3,2,55,259
2015-8-4,3,43,288
2015-8-5,4,57,357
2015-8-6,4,45,378
2015-8-7,8,43,361
2015-8-8,5,87,294
2015-8-9,2,41,319
2015-8-10,5,62,362
2015-8-11,7,49,242
2015-8-12,5,63,367
2015-8-13,5,49,310
2015-8-14,5,62,378
2015-8-15,4,69,286
2015-8-16,8,61,223
2015-8-17,4,59,267
2015-8-18,8,54,303
2015-8-19,2,54,359
2015-8-20,4,51,315
2015-8-21,8,67,311
2015-8-22,9,59,311
2015-8-23,8,58,274
2015-8-24,2,54,345
2015-8-25,6,43,366
2015-8-26,1,56,350
2015-8-27,1,56,320
2015-8-28,6,63,374
2015-8-29,7,58,276
2015-8-30,6,51,221
2015-8-31,2,40,261
2015-9-1,4,68,387
2015-9-2,2,63,377
2015-9-3,2,43,291
2015-9-4,5,50,290
2015-9-5,7,46,262
2015-9-6,,58,351
2015-9-7,1,79,375
2015-9-8,6,68,276
2015-9-9,1,56,288
2015-9-10,6,60,400
2015-9-11,4,62,330
2015-9-12,6,57,403
2015-9-13,6,60,260
2015-9-14,5,51,396
2015-9-15,4,58,383
2015-9-16,6,64,367
2015-9-17,3,45,396
2015-9-18,4,56,365
2015-9-19,4,75,310
2015-9-20,2,49,269
2015-9-21,3,57,399
2015-9-22,2,44,383
2015-9-23,3,62,378
2015-9-24,2,58,392
2015-9-25,7,82,383
2015-9-26,4,50,315
2015-9-27,10,64,296
2015-9-28,3,71,377
2015-9-29,4,65,372
2015-9-30,4,74,410
2015-10-1,7,33,239
2015-10-2,5,53,325
2015-10-3,7,58,398
2015-10-4,2,56,339
2015-10-5,5,46,206
2015-10-6,4,62,382
2015-10-7,6,49,397
2015-10-8,3,42,288
2015-10-9,5,82,380
2015-10-10,2,55,252
2015-10-11,4,69,345
2015-10-12,7,60,423
2015-10-13,7,57,338
2015-10-14,5,70,390
2015-10-15,4,52,342
2015-10-16,4,55,332
2015-10-17,5,49,246
2015-10-18,2,44,222
2015-10-19,5,57,301
2015-10-20,6,63,362
2015-10-21,3,53,434
2015-10-22,,67,317
2015-10-23,5,64,319
2015-10-24,5,50,302
2015-10-25,4,52,249
2015-10-26,5,63,328
2015-10-27,4,53,313
2015-10-28,10,52,353
2015-10-29,5,58,381
2015-10-30,2,56,385
2015-10-31,7,60,297
2015-11-1,5,45,179
2015-11-2,5,58,309
2015-11-3,3,51,298
2015-11-4,4,61,270
2015-11-5,2,47,315
2015-11-6,4,68,421
2015-11-7,5,64,332
2015-11-8,2,53,334
2015-11-9,6,81,420
2015-11-10,9,65,232
2015-11-11,6,61,339
2015-11-12,6,70,415
2015-11-13,5,69,439
2015-11-14,3,55,317
2015-11-15,6,34,224
2015-11-16,1,55,324
2015-11-17,5,54,364
2015-11-18,3,54,408
2015-11-19,3,61,346
2015-11-20,3,66,396
2015-11-21,8,62,328
2015-11-22,3,51,212
2015-11-23,1,52,368
2015-11-24,6,53,365
2015-11-25,5,56,369
2015-11-26,3,52,386
2015-11-27,4,78,410
2015-11-28,6,60,347
2015-11-29,6,43,253
2015-11-30,3,63,407
2015-12-1,3,42,357
2015-12-2,4,39,299
2015-12-3,,43,319
2015-12-4,4,40,210
2015-12-5,3,54,376
2015-12-6,4,66,361
2015-12-7,8,70,281
2015-12-8,3,59,319
2015-12-9,4,49,347
2015-12-10,4,52,343
2015-12-11,6,51,434
2015-12-12,3,49,316
2015-12-13,4,37,244
2015-12-14,6,63,365
2015-12-15,2,70,423
2015-12-16,8,73,377
2015-12-17,4,57,351
2015-12-18,5,64,356
2015-12-19,10,63,271
2015-12-20,5,43,248
2015-12-21,2,61,347
2015-12-22,3,56,344
2015-12-23,6,74,348
2015-12-24,10,55,254
2015-12-25,4,36,140
2015-12-26,4,42,185
2015-12-27,2,36,221
2015-12-28,4,24,174
2015-12-29,6,51,244
2015-12-30,5,50,215
2015-12-31,6,54,263
2016-1-1,8,54,220
2016-1-2,1,55,272
2016-1-3,10,37,319
2016-1-4,4,47,255
2016-1-5,7,54,217
2016-1-6,5,50,265
2016-1-7,5,76,392
2016-1-8,2,59,308
2016-1-9,3,70,293
2016-1-10,9,59,349
2016-1-11,7,50,308
2016-1-12,11,80,446
2016-1-13,5,67,447
2016-1-14,11,57,430
2016-1-15,3,82,432
2016-1-16,2,48,319
2016-1-17,,38,180
2016-1-18,1,67,319
2016-1-19,5,64,370
2016-1-20,6,65,408
2016-1-21,,54,309
2016-1-22,2,68,375
2016-1-23,5,51,290
2016-1-24,4,42,199
2016-1-25,5,50,298
2016-1-26,5,47,334
2016-1-27,5,62,324
2016-1-28,6,61,401
2016-1-29,5,66,359
2016-1-30,5,57,290
2016-1-31,5,41,220
2016-2-1,3,35,213
2016-2-2,3,44,305
2016-2-3,3,60,387
2016-2-4,4,71,271
2016-2-5,6,43,223
2016-2-6,8,44,284
2016-2-7,5,54,303
2016-2-8,3,49,311
2016-2-9,5,64,310
2016-2-10,3,87,262
2016-2-11,3,78,372
2016-2-12,8,59,420
2016-2-13,7,58,261
2016-2-14,2,30,215
2016-2-15,8,61,330
2016-2-16,4,59,334
2016-2-17,3,50,345
2016-2-18,2,49,372
2016-2-19,2,50,361
2016-2-20,8,49,230
2016-2-21,4,31,204
2016-2-22,5,37,292
2016-2-23,6,58,331
2016-2-24,6,65,387
2016-2-25,3,56,340
2016-2-26,5,47,298
2016-2-27,6,49,196
2016-2-28,2,55,204
2016-2-29,3,48,307
2016-3-1,3,35,183
2016-3-2,6,59,352
2016-3-3,2,57,391
2016-3-4,4,53,220
2016-3-5,7,76,330
2016-3-6,4,66,307
2016-3-7,4,75,236
2016-3-8,3,64,283
2016-3-9,4,66,302
2016-3-10,5,87,349
2016-3-11,6,59,387
2016-3-12,6,52,273
2016-3-13,2,78,235
2016-3-14,,65,319
2016-3-15,4,50,277
2016-3-16,3,57,314
2016-3-17,2,46,321
2016-3-18,1,59,317
2016-3-19,2,58,223
2016-3-20,6,52,199
2016-3-21,7,33,261
2016-3-22,4,53,274
2016-3-23,2,45,257
2016-3-24,5,60,382
2016-3-25,10,59,281
2016-3-26,4,38,236
2016-3-27,3,49,217
2016-3-28,5,32,206
2016-3-29,5,49,280
2016-3-30,5,43,313
2016-3-31,7,65,307
2016-4-1,6,56,287
2016-4-2,6,66,332
2016-4-3,6,72,382
2016-4-4,4,42,307
2016-4-5,3,54,372
2016-4-6,7,58,235
2016-4-7,5,62,269
2016-4-8,3,54,263
2016-4-9,6,37,240
2016-4-10,5,60,328
2016-4-11,1,98,420
2016-4-12,4,49,280
2016-4-13,6,54,283
2016-4-14,6,52,319
2016-4-15,3,63,359
2016-4-16,,42,297
2016-4-17,4,49,214
2016-4-18,1,43,253
2016-4-19,6,58,383
2016-4-20,7,87,351
2016-4-21,4,59,329
2016-4-22,1,56,343
2016-4-23,7,65,260
2016-4-24,5,41,203
2016-4-25,6,44,297
2016-4-26,4,40,314
2016-4-27,8,59,333
2016-4-28,4,47,336
2016-4-29,7,56,402
2016-4-30,4,52,317
2016-5-1,,56,296
2016-5-2,3,74,356
2016-5-3,6,50,266
2016-5-4,6,49,254
2016-5-5,3,71,347
2016-5-6,8,74,259
2016-5-7,5,66,309
2016-5-8,3,71,355
2016-5-9,7,60,317
2016-5-10,3,81,380
2016-5-11,6,67,302
2016-5-12,4,56,334
2016-5-13,4,52,335
2016-5-14,8,61,288
2016-5-15,7,71,214
2016-5-16,5,59,314
2016-5-17,3,51,297
2016-5-18,2,46,323
2016-5-19,1,58,314
2016-5-20,11,56,336
2016-5-21,1,64,256
2016-5-22,8,68,232
2016-5-23,4,55,324
2016-5-24,5,56,291
2016-5-25,2,53,308
2016-5-26,3,61,367
2016-5-27,5,70,378
2016-5-28,5,66,292
2016-5-29,6,61,272
2016-5-30,4,51,206
2016-5-31,4,58,308
2016-6-1,3,56,329
2016-6-2,5,55,318
2016-6-3,3,58,202
2016-6-4,2,37,307
2016-6-5,2,59,303
2016-6-6,3,76,370
2016-6-7,3,62,328
2016-6-8,5,59,289
2016-6-9,2,71,289
2016-6-10,2,72,324
2016-6-11,2,46,269
2016-6-12,5,56,341
2016-6-13,3,60,337
2016-6-14,3,54,335
2016-6-15,2,50,319
2016-6-16,10,59,349
2016-6-17,5,56,372
2016-6-18,5,51,242
2016-6-19,6,54,245
2016-6-20,8,67,362
2016-6-21,2,52,310
2016-6-22,3,56,316
2016-6-23,2,64,337
2016-6-24,6,71,343
2016-6-25,1,69,258
2016-6-26,3,56,252
2016-6-27,5,43,296
2016-6-28,4,56,322
2016-6-29,1,56,334
2016-6-30,4,57,296
2016-7-1,4,55,359
2016-7-2,4,55,233
2016-7-3,5,57,370
2016-7-4,2,26,276
2016-7-5,5,65,313
2016-7-6,6,63,298
2016-7-7,4,67,309
2016-7-8,8,81,264
2016-7-9,5,66,307
2016-7-10,4,65,304
2016-7-11,7,71,349
2016-7-12,3,76,408
2016-7-13,3,69,332
2016-7-14,7,73,344
2016-7-15,4,62,313
2016-7-16,3,57,288
2016-7-17,4,63,289
2016-7-18,4,67,384
2016-7-19,7,97,378
2016-7-20,6,68,378
2016-7-21,5,72,324
2016-7-22,3,74,315
2016-7-23,1,72,313
2016-7-24,8,67,233
2016-7-25,4,38,299
2016-7-26,1,60,289
2016-7-27,4,51,323
2016-7-28,5,51,294
2016-7-29,3,62,307
2016-7-30,9,78,275
2016-7-31,8,82,232
2016-8-1,11,66,407
2016-8-2,,43,324
2016-8-3,3,51,287
2016-8-4,5,49,303
2016-8-5,7,78,298
2016-8-6,2,63,333
2016-8-7,5,81,356
2016-8-8,5,59,286
2016-8-9,8,70,347
2016-8-10,7,61,268
2016-8-11,2,59,373
2016-8-12,7,71,394
2016-8-13,8,69,287
2016-8-14,8,55,213
2016-8-15,5,68,327
2016-8-16,2,65,330
2016-8-17,5,81,341
2016-8-18,4,60,301
2016-8-19,4,57,413
2016-8-20,6,58,268
2016-8-21,9,38,233
2016-8-22,2,40,257
2016-8-23,4,71,330
2016-8-24,2,73,291
2016-8-25,3,51,337
2016-8-26,8,58,417
2016-8-27,2,58,265
2016-8-28,4,60,227
2016-8-29,7,69,270
2016-8-30,4,73,338
2016-8-31,5,50,285
2016-9-1,6,59,272
2016-9-2,4,61,360
2016-9-3,3,52,300
2016-9-4,6,48,269
2016-9-5,3,64,350
2016-9-6,7,67,300
2016-9-7,3,62,247
2016-9-8,4,65,311
2016-9-9,4,65,352
2016-9-10,3,53,240
2016-9-11,3,56,375
2016-9-12,7,72,440
2016-9-13,6,80,344
2016-9-14,2,82,353
2016-9-15,9,78,350
2016-9-16,6,66,360
2016-9-17,6,60,262
2016-9-18,3,54,233
2016-9-19,5,52,340
2016-9-20,4,53,288
2016-9-21,5,65,321
2016-9-22,4,75,329
2016-9-23,9,88,375
2016-9-24,5,47,268
2016-9-25,3,70,246
2016-9-26,4,45,335
2016-9-27,5,52,291
2016-9-28,,79,345
2016-9-29,6,65,358
2016-9-30,9,74,415
2016-10-1,4,38,219
2016-10-2,5,54,350
2016-10-3,2,50,331
2016-10-4,5,60,239
2016-10-5,3,63,368
2016-10-6,4,62,386
2016-10-7,6,54,296
2016-10-8,8,69,294
2016-10-9,3,71,333
2016-10-10,3,61,364
2016-10-11,6,60,368
2016-10-12,5,61,256
2016-10-13,7,72,366
2016-10-14,7,79,334
2016-10-15,5,72,318
2016-10-16,6,59,255
2016-10-17,5,67,350
2016-10-18,1,68,336
2016-10-19,3,66,340
2016-10-20,7,61,304
2016-10-21,3,61,324
2016-10-22,6,56,274
2016-10-23,5,42,206
2016-10-24,8,50,266
2016-10-25,1,44,268
2016-10-26,4,60,303
2016-10-27,3,53,279
2016-10-28,6,72,330
2016-10-29,5,51,258
2016-10-30,4,49,202
2016-10-31,4,72,348
2016-11-1,3,57,370
2016-11-2,8,57,431
2016-11-3,8,49,363
2016-11-4,3,39,294
2016-11-5,3,52,351
2016-11-6,5,49,272
2016-11-7,1,60,298
2016-11-8,4,57,311
2016-11-9,3,81,231
2016-11-10,1,60,356
2016-11-11,6,87,439
2016-11-12,1,62,259
2016-11-13,5,58,224
2016-11-14,10,73,316
2016-11-15,3,68,376
2016-11-16,4,95,379
2016-11-17,7,65,360
2016-11-18,5,87,435
2016-11-19,7,65,335
2016-11-20,1,39,240
2016-11-21,4,80,381
2016-11-22,3,66,371
2016-11-23,6,64,330
2016-11-24,3,58,327
2016-11-25,10,96,460
2016-11-26,6,64,291
2016-11-27,3,41,213
2016-11-28,6,66,395
2016-11-29,9,87,425
2016-11-30,2,59,408
2016-12-1,5,66,373
2016-12-2,8,62,351
2016-12-3,4,47,256
2016-12-4,8,65,315
2016-12-5,6,60,356
2016-12-6,5,43,229
2016-12-7,5,64,338
2016-12-8,5,95,375
2016-12-9,3,57,330
2016-12-10,5,58,341
2016-12-11,3,60,345
2016-12-12,4,52,321
2016-12-13,6,58,375
2016-12-14,9,78,350
2016-12-15,6,67,337
2016-12-16,9,87,390
2016-12-17,8,56,230
2016-12-18,5,42,218
2016-12-19,,55,317
2016-12-20,6,62,315
2016-12-21,4,67,340
2016-12-22,9,59,351
2016-12-23,1,65,290
2016-12-24,8,45,221
2016-12-25,3,32,103
2016-12-26,6,38,143
2016-12-27,6,50,205
2016-12-28,3,32,251
2016-12-29,7,47,241
2016-12-30,1,35,213
